semester,subject,module,course_outcome,question_text
S3,Sustainable Engineering,Module 1,"Understand principles of sustainability","Define sustainable development."
S3,Sustainable Engineering,Module 1,"Understand principles of sustainability","Explain the need for sustainable engineering."
S3,Sustainable Engineering,Module 1,"Understand principles of sustainability","What are the pillars of sustainability?"

S3,Sustainable Engineering,Module 2,"Analyze environmental impacts and resources","Explain environmental impact assessment."
S3,Sustainable Engineering,Module 2,"Analyze environmental impacts and resources","Discuss renewable and non-renewable resources."
S3,Sustainable Engineering,Module 2,"Analyze environmental impacts and resources","Explain carbon footprint and its reduction."

S3,Sustainable Engineering,Module 3,"Apply sustainable practices in engineering","Explain waste management techniques."
S3,Sustainable Engineering,Module 3,"Apply sustainable practices in engineering","Discuss water conservation methods."
S3,Sustainable Engineering,Module 3,"Apply sustainable practices in engineering","Explain energy efficient technologies."

S3,Sustainable Engineering,Module 4,"Understand green building and sustainable design","What is a green building?"
S3,Sustainable Engineering,Module 4,"Understand green building and sustainable design","Explain features of sustainable buildings."
S3,Sustainable Engineering,Module 4,"Understand green building and sustainable design","Discuss benefits of green buildings."

S3,Sustainable Engineering,Module 5,"Evaluate sustainability in real-world applications","Explain life cycle assessment."
S3,Sustainable Engineering,Module 5,"Evaluate sustainability in real-world applications","Discuss sustainable transportation."
S3,Sustainable Engineering,Module 5,"Evaluate sustainability in real-world applications","Explain role of engineers in sustainable development."


S4,Computer Organisation & Architecture,Module 1,"Understand basic structure and operation of computer systems","Explain the basic organization of a computer system."
S4,Computer Organisation & Architecture,Module 1,"Understand basic structure and operation of computer systems","Describe instruction cycle with diagram."
S4,Computer Organisation & Architecture,Module 1,"Understand basic structure and operation of computer systems","Explain different addressing modes."

S4,Computer Organisation & Architecture,Module 2,"Analyze arithmetic and logic unit operations","Explain addition and subtraction using 2’s complement."
S4,Computer Organisation & Architecture,Module 2,"Analyze arithmetic and logic unit operations","Describe Booth’s algorithm for multiplication."
S4,Computer Organisation & Architecture,Module 2,"Analyze arithmetic and logic unit operations","Explain floating point representation."

S4,Computer Organisation & Architecture,Module 3,"Understand memory organization and hierarchy","Explain memory hierarchy."
S4,Computer Organisation & Architecture,Module 3,"Understand memory organization and hierarchy","Describe cache memory and mapping techniques."
S4,Computer Organisation & Architecture,Module 3,"Understand memory organization and hierarchy","Explain virtual memory."

S4,Computer Organisation & Architecture,Module 4,"Analyze input-output organization","Explain programmed I/O and interrupt-driven I/O."
S4,Computer Organisation & Architecture,Module 4,"Analyze input-output organization","Describe DMA (Direct Memory Access)."
S4,Computer Organisation & Architecture,Module 4,"Analyze input-output organization","Explain I/O interfaces."

S4,Computer Organisation & Architecture,Module 5,"Understand pipeline and parallel processing","Explain instruction pipelining."
S4,Computer Organisation & Architecture,Module 5,"Understand pipeline and parallel processing","Describe hazards in pipelining."
S4,Computer Organisation & Architecture,Module 5,"Understand pipeline and parallel processing","Explain parallel processing concepts."


S4,Graph Theory,Module 1,"Understand basic concepts of graphs","Define graph and its types."
S4,Graph Theory,Module 1,"Understand basic concepts of graphs","Explain degree of a vertex and handshaking lemma."
S4,Graph Theory,Module 1,"Understand basic concepts of graphs","Define subgraph and spanning subgraph."

S4,Graph Theory,Module 2,"Analyze paths, circuits and connectedness","Define path, circuit and connected graph."
S4,Graph Theory,Module 2,"Analyze paths, circuits and connectedness","Explain Euler graph and Hamiltonian graph."
S4,Graph Theory,Module 2,"Analyze paths, circuits and connectedness","State and explain Euler’s theorem."

S4,Graph Theory,Module 3,"Apply tree concepts in graphs","Define tree and its properties."
S4,Graph Theory,Module 3,"Apply tree concepts in graphs","Explain spanning tree and minimum spanning tree."
S4,Graph Theory,Module 3,"Apply tree concepts in graphs","Describe Prim’s and Kruskal’s algorithms."

S4,Graph Theory,Module 4,"Analyze graph coloring and planarity","Explain graph coloring and chromatic number."
S4,Graph Theory,Module 4,"Analyze graph coloring and planarity","Define planar graph and Kuratowski’s theorem."
S4,Graph Theory,Module 4,"Analyze graph coloring and planarity","Explain applications of graph coloring."

S4,Graph Theory,Module 5,"Apply graph algorithms","Explain shortest path algorithms."
S4,Graph Theory,Module 5,"Apply graph algorithms","Describe Dijkstra’s algorithm."
S4,Graph Theory,Module 5,"Apply graph algorithms","Explain Floyd-Warshall algorithm."


S4,Database Management Systems,Module 1,"Understand database concepts and data models","Define database and DBMS."
S4,Database Management Systems,Module 1,"Understand database concepts and data models","Explain advantages of DBMS over file systems."
S4,Database Management Systems,Module 1,"Understand database concepts and data models","Describe different data models."

S4,Database Management Systems,Module 2,"Design relational database schemas","Define relational model and its components."
S4,Database Management Systems,Module 2,"Design relational database schemas","Explain keys in relational database."
S4,Database Management Systems,Module 2,"Design relational database schemas","Describe normalization and its types."

S4,Database Management Systems,Module 3,"Apply SQL for database operations","Write SQL queries for selection and projection."
S4,Database Management Systems,Module 3,"Apply SQL for database operations","Explain joins in SQL with examples."
S4,Database Management Systems,Module 3,"Apply SQL for database operations","Explain aggregate functions in SQL."

S4,Database Management Systems,Module 4,"Understand transaction management","Define transaction and its properties (ACID)."
S4,Database Management Systems,Module 4,"Understand transaction management","Explain concurrency control."
S4,Database Management Systems,Module 4,"Understand transaction management","Describe deadlock and its handling."

S4,Database Management Systems,Module 5,"Analyze storage and indexing techniques","Explain file organization techniques."
S4,Database Management Systems,Module 5,"Analyze storage and indexing techniques","Describe indexing methods."
S4,Database Management Systems,Module 5,"Analyze storage and indexing techniques","Explain B+ tree index."


S4,Operating Systems,Module 1,"Understand basic concepts and structure of operating systems","Define operating system and its functions."
S4,Operating Systems,Module 1,"Understand basic concepts and structure of operating systems","Explain different types of operating systems."
S4,Operating Systems,Module 1,"Understand basic concepts and structure of operating systems","Describe system calls."

S4,Operating Systems,Module 2,"Analyze process management and scheduling","Define process and process states."
S4,Operating Systems,Module 2,"Analyze process management and scheduling","Explain process scheduling algorithms."
S4,Operating Systems,Module 2,"Analyze process management and scheduling","Describe inter-process communication."

S4,Operating Systems,Module 3,"Understand synchronization and deadlocks","Explain critical section problem."
S4,Operating Systems,Module 3,"Understand synchronization and deadlocks","Describe semaphores and their use."
S4,Operating Systems,Module 3,"Understand synchronization and deadlocks","Explain deadlock conditions and prevention."

S4,Operating Systems,Module 4,"Analyze memory management techniques","Explain paging and segmentation."
S4,Operating Systems,Module 4,"Analyze memory management techniques","Describe virtual memory."
S4,Operating Systems,Module 4,"Analyze memory management techniques","Explain page replacement algorithms."

S4,Operating Systems,Module 5,"Understand file systems and I/O management","Define file system and its structure."
S4,Operating Systems,Module 5,"Understand file systems and I/O management","Explain disk scheduling algorithms."
S4,Operating Systems,Module 5,"Understand file systems and I/O management","Describe I/O management."

S4,Constitution of India,Module 1,"Understand the historical background and features of Indian Constitution","Explain the historical background of the Indian Constitution."
S4,Constitution of India,Module 1,"Understand the historical background and features of Indian Constitution","List the salient features of the Indian Constitution."
S4,Constitution of India,Module 1,"Understand the historical background and features of Indian Constitution","Explain the Preamble of the Indian Constitution."

S4,Constitution of India,Module 2,"Understand fundamental rights and duties","Explain fundamental rights with examples."
S4,Constitution of India,Module 2,"Understand fundamental rights and duties","Discuss fundamental duties of citizens."
S4,Constitution of India,Module 2,"Understand fundamental rights and duties","Explain Directive Principles of State Policy."

S4,Constitution of India,Module 3,"Understand structure of government","Explain the structure of Parliament."
S4,Constitution of India,Module 3,"Understand structure of government","Describe powers of the President of India."
S4,Constitution of India,Module 3,"Understand structure of government","Explain the role of Prime Minister and Council of Ministers."

S4,Constitution of India,Module 4,"Understand judiciary system","Explain the structure of Indian judiciary."
S4,Constitution of India,Module 4,"Understand judiciary system","Describe powers of Supreme Court."
S4,Constitution of India,Module 4,"Understand judiciary system","Explain judicial review."

S4,Constitution of India,Module 5,"Understand federal system and governance","Explain centre-state relations."
S4,Constitution of India,Module 5,"Understand federal system and governance","Describe emergency provisions in the Constitution."
S4,Constitution of India,Module 5,"Understand federal system and governance","Explain amendment procedure of the Constitution."


S5,Computer Networks,Module 1,"Explain features of computer networks, protocols and design models","Define computer network and list its features."
S5,Computer Networks,Module 1,"Explain features of computer networks, protocols and design models","What is a protocol? Explain its elements."
S5,Computer Networks,Module 1,"Explain features of computer networks, protocols and design models","Compare OSI and TCP/IP models."

S5,Computer Networks,Module 2,"Describe characteristics of physical layer and its usage","Explain functions of physical layer."
S5,Computer Networks,Module 2,"Describe characteristics of physical layer and its usage","Describe different transmission media."
S5,Computer Networks,Module 2,"Describe characteristics of physical layer and its usage","Explain signal encoding techniques."

S5,Computer Networks,Module 3,"Explain data link layer design issues and protocols","Explain design issues of data link layer."
S5,Computer Networks,Module 3,"Explain data link layer design issues and protocols","Describe error detection and correction methods."
S5,Computer Networks,Module 3,"Explain data link layer design issues and protocols","Explain working of bridges and switches."

S5,Computer Networks,Module 4,"Illustrate wired and wireless LAN protocols","Explain IEEE 802.3 protocol."
S5,Computer Networks,Module 4,"Illustrate wired and wireless LAN protocols","Explain IEEE 802.11 protocol."
S5,Computer Networks,Module 4,"Illustrate wired and wireless LAN protocols","Compare wired and wireless LANs."

S5,Computer Networks,Module 5,"Select routing algorithms and congestion control techniques","Explain different routing algorithms."
S5,Computer Networks,Module 5,"Select routing algorithms and congestion control techniques","Describe congestion control techniques."
S5,Computer Networks,Module 5,"Select routing algorithms and congestion control techniques","Explain Quality of Service (QoS) requirements."



S5,System Software,Module 1,"Distinguish software into system and application categories","Define system software and application software."
S5,System Software,Module 1,"Distinguish software into system and application categories","Differentiate between system software and application software."
S5,System Software,Module 1,"Distinguish software into system and application categories","Give examples of system software and application software."

S5,System Software,Module 2,"Identify standard and extended architectural features of machines","Explain basic computer architecture."
S5,System Software,Module 2,"Identify standard and extended architectural features of machines","Describe standard architectural features of a machine."
S5,System Software,Module 2,"Identify standard and extended architectural features of machines","Explain extended architectural features of machines."

S5,System Software,Module 3,"Identify machine dependent features of system software","Explain machine dependent features in system software."
S5,System Software,Module 3,"Identify machine dependent features of system software","Describe instruction formats and addressing modes."
S5,System Software,Module 3,"Identify machine dependent features of system software","Explain role of machine dependent code in system software."

S5,System Software,Module 4,"Identify machine independent features of system software","Explain machine independent features in system software."
S5,System Software,Module 4,"Identify machine independent features of system software","Describe symbolic addressing and relocation."
S5,System Software,Module 4,"Identify machine independent features of system software","Explain program linking and loading."

S5,System Software,Module 5,"Design algorithms for system software and analyze data structures","Explain algorithms used in assemblers."
S5,System Software,Module 5,"Design algorithms for system software and analyze data structures","Describe data structures used in compilers."
S5,System Software,Module 5,"Design algorithms for system software and analyze data structures","Analyze the effect of data structures in system software design."



S5,Management of Software Systems,Module 1,"Demonstrate traditional and agile software development approaches","Explain traditional software development models."
S5,Management of Software Systems,Module 1,"Demonstrate traditional and agile software development approaches","Explain Agile methodology and its principles."
S5,Management of Software Systems,Module 1,"Demonstrate traditional and agile software development approaches","Compare traditional and Agile approaches."

S5,Management of Software Systems,Module 2,"Prepare SRS and software design for a given problem","What is Software Requirement Specification (SRS)?"
S5,Management of Software Systems,Module 2,"Prepare SRS and software design for a given problem","Explain steps in software design."
S5,Management of Software Systems,Module 2,"Prepare SRS and software design for a given problem","Prepare an SRS for a simple system."

S5,Management of Software Systems,Module 3,"Understand design patterns, licensing and project strategies","Explain design patterns with examples."
S5,Management of Software Systems,Module 3,"Understand design patterns, licensing and project strategies","Discuss different software licensing types."
S5,Management of Software Systems,Module 3,"Understand design patterns, licensing and project strategies","Explain testing, maintenance and DevOps strategies."

S5,Management of Software Systems,Module 4,"Apply project management concepts in software development","Explain project planning and scheduling."
S5,Management of Software Systems,Module 4,"Apply project management concepts in software development","Describe estimation techniques in software projects."
S5,Management of Software Systems,Module 4,"Apply project management concepts in software development","Explain change management in software projects."

S5,Management of Software Systems,Module 5,"Utilize SQA practices and modern software technologies","Explain Software Quality Assurance (SQA)."
S5,Management of Software Systems,Module 5,"Utilize SQA practices and modern software technologies","Describe process improvement techniques."
S5,Management of Software Systems,Module 5,"Utilize SQA practices and modern software technologies","Explain cloud computing, containers and microservices."


S5,Disaster Management,Module 1,"Define disaster management terminologies and relate them to disaster cycle","Define disaster and disaster management."
S5,Disaster Management,Module 1,"Define disaster management terminologies and relate them to disaster cycle","Explain disaster management cycle."
S5,Disaster Management,Module 1,"Define disaster management terminologies and relate them to disaster cycle","Describe key terminologies used in disaster management."

S5,Disaster Management,Module 2,"Distinguish hazard types and vulnerability assessment","Classify different types of hazards."
S5,Disaster Management,Module 2,"Distinguish hazard types and vulnerability assessment","Explain different types of vulnerabilities."
S5,Disaster Management,Module 2,"Distinguish hazard types and vulnerability assessment","Describe vulnerability assessment methods."

S5,Disaster Management,Module 3,"Understand risk assessment components and methodologies","Define risk and risk assessment."
S5,Disaster Management,Module 3,"Understand risk assessment components and methodologies","Explain components of risk assessment."
S5,Disaster Management,Module 3,"Understand risk assessment components and methodologies","Describe methodologies used for risk assessment."

S5,Disaster Management,Module 4,"Explain disaster risk management and mitigation strategies","Explain phases of disaster risk management."
S5,Disaster Management,Module 4,"Explain disaster risk management and mitigation strategies","Describe measures to reduce disaster risks."
S5,Disaster Management,Module 4,"Explain disaster risk management and mitigation strategies","Explain community-based disaster management."

S5,Disaster Management,Module 5,"Understand disaster response and actions","Explain disaster response mechanisms."
S5,Disaster Management,Module 5,"Understand disaster response and actions","Discuss factors affecting disaster response."
S5,Disaster Management,Module 5,"Understand disaster response and actions","Describe various disaster response actions."



S5,Formal Languages & Automata Theory,Module 1,"Classify formal languages into different types","Define formal language and its types."
S5,Formal Languages & Automata Theory,Module 1,"Classify formal languages into different types","Differentiate between regular, context-free and context-sensitive languages."
S5,Formal Languages & Automata Theory,Module 1,"Classify formal languages into different types","Classify a given language into appropriate category."

S5,Formal Languages & Automata Theory,Module 2,"Represent regular languages using formal models","Explain finite state automaton with example."
S5,Formal Languages & Automata Theory,Module 2,"Represent regular languages using formal models","Convert regular expression to finite automaton."
S5,Formal Languages & Automata Theory,Module 2,"Represent regular languages using formal models","Explain Myhill-Nerode theorem."

S5,Formal Languages & Automata Theory,Module 3,"Design PDA and CFG for context-free languages","Define pushdown automaton."
S5,Formal Languages & Automata Theory,Module 3,"Design PDA and CFG for context-free languages","Construct context-free grammar for a given language."
S5,Formal Languages & Automata Theory,Module 3,"Design PDA and CFG for context-free languages","Design PDA for a given context-free language."

S5,Formal Languages & Automata Theory,Module 4,"Design Turing machines for language recognition","Define Turing machine."
S5,Formal Languages & Automata Theory,Module 4,"Design Turing machines for language recognition","Explain Turing machine as language acceptor."
S5,Formal Languages & Automata Theory,Module 4,"Design Turing machines for language recognition","Design a Turing machine for a given problem."

S5,Formal Languages & Automata Theory,Module 5,"Understand decidability and computability concepts","Define decidability."
S5,Formal Languages & Automata Theory,Module 5,"Understand decidability and computability concepts","Explain decidable and undecidable problems."
S5,Formal Languages & Automata Theory,Module 5,"Understand decidability and computability concepts","Give examples of undecidable problems."


S5,Microprocessors & Microcontrollers,Module 1,"Illustrate architecture and addressing modes of microprocessors","Explain the architecture of 8086 microprocessor."
S5,Microprocessors & Microcontrollers,Module 1,"Illustrate architecture and addressing modes of microprocessors","Describe different addressing modes in 8086."
S5,Microprocessors & Microcontrollers,Module 1,"Illustrate architecture and addressing modes of microprocessors","Explain modes of operation of 8086."

S5,Microprocessors & Microcontrollers,Module 2,"Develop 8086 assembly language programs","Write an assembly language program to add two numbers."
S5,Microprocessors & Microcontrollers,Module 2,"Develop 8086 assembly language programs","Explain instruction set of 8086."
S5,Microprocessors & Microcontrollers,Module 2,"Develop 8086 assembly language programs","Develop a program for arithmetic operations in 8086."

S5,Microprocessors & Microcontrollers,Module 3,"Understand interrupts and their handling in 8086","Define interrupt and its types."
S5,Microprocessors & Microcontrollers,Module 3,"Understand interrupts and their handling in 8086","Explain interrupt handling in 8086."
S5,Microprocessors & Microcontrollers,Module 3,"Understand interrupts and their handling in 8086","Write a program using interrupts in 8086."

S5,Microprocessors & Microcontrollers,Module 4,"Interface peripherals with microprocessors","Explain interfacing of 8255 with microprocessor."
S5,Microprocessors & Microcontrollers,Module 4,"Interface peripherals with microprocessors","Describe working of 8254 timer."
S5,Microprocessors & Microcontrollers,Module 4,"Interface peripherals with microprocessors","Explain DMA controller 8257 and memory interfacing."

S5,Microprocessors & Microcontrollers,Module 5,"Understand microcontroller features and programming","Explain features of microcontrollers."
S5,Microprocessors & Microcontrollers,Module 5,"Understand microcontroller features and programming","Differentiate microprocessor and microcontroller."
S5,Microprocessors & Microcontrollers,Module 5,"Understand microcontroller features and programming","Develop a simple program using microcontroller."


S6,Compiler Design,Module 1,"Explain phases of compilation and lexical analysis","List and explain phases of a compiler."
S6,Compiler Design,Module 1,"Explain phases of compilation and lexical analysis","Explain lexical analysis and its role."
S6,Compiler Design,Module 1,"Explain phases of compilation and lexical analysis","Design a lexical analyzer using finite automata."

S6,Compiler Design,Module 2,"Model syntax using CFG and derivations","Define context free grammar with example."
S6,Compiler Design,Module 2,"Model syntax using CFG and derivations","Explain leftmost and rightmost derivations."
S6,Compiler Design,Module 2,"Model syntax using CFG and derivations","Construct parse tree for a given grammar."

S6,Compiler Design,Module 3,"Compare parsers and construct parsing methods","Differentiate top-down and bottom-up parsing."
S6,Compiler Design,Module 3,"Compare parsers and construct parsing methods","Explain LL(1) parsing."
S6,Compiler Design,Module 3,"Compare parsers and construct parsing methods","Construct LR parser for a given grammar."

S6,Compiler Design,Module 4,"Apply syntax directed translation and storage strategies","Explain syntax directed translation."
S6,Compiler Design,Module 4,"Apply syntax directed translation and storage strategies","Compare static, stack and heap storage allocation."
S6,Compiler Design,Module 4,"Apply syntax directed translation and storage strategies","Explain different intermediate representations."

S6,Compiler Design,Module 5,"Understand code optimization and generation techniques","Explain code optimization techniques."
S6,Compiler Design,Module 5,"Understand code optimization and generation techniques","Describe loop optimization techniques."
S6,Compiler Design,Module 5,"Understand code optimization and generation techniques","Explain code generation process."


S6,Algorithm Analysis & Design,Module 1,"Analyze algorithms using asymptotic notations","Define time and space complexity."
S6,Algorithm Analysis & Design,Module 1,"Analyze algorithms using asymptotic notations","Explain Big-O, Big-Theta and Big-Omega notations."
S6,Algorithm Analysis & Design,Module 1,"Analyze algorithms using asymptotic notations","Analyze time complexity of a given algorithm."

S6,Algorithm Analysis & Design,Module 2,"Solve recurrence relations using various methods","Define recurrence relation with example."
S6,Algorithm Analysis & Design,Module 2,"Solve recurrence relations using various methods","Solve recurrence using iteration and substitution method."
S6,Algorithm Analysis & Design,Module 2,"Solve recurrence relations using various methods","Explain Master’s theorem with example."

S6,Algorithm Analysis & Design,Module 3,"Apply graph algorithms and advanced data structures","Explain BFS and DFS algorithms."
S6,Algorithm Analysis & Design,Module 3,"Apply graph algorithms and advanced data structures","Describe AVL tree and its balancing operations."
S6,Algorithm Analysis & Design,Module 3,"Apply graph algorithms and advanced data structures","Explain disjoint set operations with example."

S6,Algorithm Analysis & Design,Module 4,"Apply algorithm design techniques","Explain divide and conquer strategy with example."
S6,Algorithm Analysis & Design,Module 4,"Apply algorithm design techniques","Explain greedy method with example."
S6,Algorithm Analysis & Design,Module 4,"Apply algorithm design techniques","Explain dynamic programming and backtracking."

S6,Algorithm Analysis & Design,Module 5,"Classify problems based on computational complexity","Define tractable and intractable problems."
S6,Algorithm Analysis & Design,Module 5,"Classify problems based on computational complexity","Explain NP-complete problems."
S6,Algorithm Analysis & Design,Module 5,"Classify problems based on computational complexity","Discuss strategies to handle intractable problems."



S6,Computer Graphics & Image Processing,Module 1,"Describe working principles of graphics devices","Explain different graphics devices."
S6,Computer Graphics & Image Processing,Module 1,"Describe working principles of graphics devices","Describe working of CRT and LCD displays."
S6,Computer Graphics & Image Processing,Module 1,"Describe working principles of graphics devices","Explain raster scan and random scan displays."

S6,Computer Graphics & Image Processing,Module 2,"Illustrate line, circle and polygon algorithms","Explain DDA line drawing algorithm."
S6,Computer Graphics & Image Processing,Module 2,"Illustrate line, circle and polygon algorithms","Describe Bresenham’s line and circle drawing algorithms."
S6,Computer Graphics & Image Processing,Module 2,"Illustrate line, circle and polygon algorithms","Explain polygon filling algorithms."

S6,Computer Graphics & Image Processing,Module 3,"Apply transformations, clipping and projection techniques","Explain 2D and 3D transformations."
S6,Computer Graphics & Image Processing,Module 3,"Apply transformations, clipping and projection techniques","Describe clipping algorithms."
S6,Computer Graphics & Image Processing,Module 3,"Apply transformations, clipping and projection techniques","Explain projection techniques in computer graphics."

S6,Computer Graphics & Image Processing,Module 4,"Understand visible surface detection methods","Explain back-face detection method."
S6,Computer Graphics & Image Processing,Module 4,"Understand visible surface detection methods","Describe Z-buffer algorithm."
S6,Computer Graphics & Image Processing,Module 4,"Understand visible surface detection methods","Explain scan-line algorithm."

S6,Computer Graphics & Image Processing,Module 5,"Understand digital image representation and processing","Explain digital image representation."
S6,Computer Graphics & Image Processing,Module 5,"Understand digital image representation and processing","Describe pixel relationships."
S6,Computer Graphics & Image Processing,Module 5,"Understand digital image representation and processing","Explain basic image processing operations."



S7,Artificial Intelligence,Module 1,"Explain fundamental concepts of intelligent systems and architecture","Define Artificial Intelligence and its applications."
S7,Artificial Intelligence,Module 1,"Explain fundamental concepts of intelligent systems and architecture","Explain components of an intelligent system."
S7,Artificial Intelligence,Module 1,"Explain fundamental concepts of intelligent systems and architecture","Describe architecture of AI systems."

S7,Artificial Intelligence,Module 2,"Illustrate uninformed and informed search techniques","Explain uninformed search techniques such as BFS and DFS."
S7,Artificial Intelligence,Module 2,"Illustrate uninformed and informed search techniques","Explain informed search techniques such as A* algorithm."
S7,Artificial Intelligence,Module 2,"Illustrate uninformed and informed search techniques","Compare uninformed and informed search techniques."

S7,Artificial Intelligence,Module 3,"Solve constraint satisfaction problems using search techniques","Define constraint satisfaction problem (CSP)."
S7,Artificial Intelligence,Module 3,"Solve constraint satisfaction problems using search techniques","Explain backtracking algorithm for CSP."
S7,Artificial Intelligence,Module 3,"Solve constraint satisfaction problems using search techniques","Solve CSP using heuristics."

S7,Artificial Intelligence,Module 4,"Represent knowledge and apply inference techniques","Explain knowledge representation using logic."
S7,Artificial Intelligence,Module 4,"Represent knowledge and apply inference techniques","Describe propositional and predicate logic."
S7,Artificial Intelligence,Module 4,"Represent knowledge and apply inference techniques","Explain inference techniques in AI."

S7,Artificial Intelligence,Module 5,"Illustrate learning techniques in intelligent systems","Explain supervised learning and unsupervised learning."
S7,Artificial Intelligence,Module 5,"Illustrate learning techniques in intelligent systems","Describe reinforcement learning."
S7,Artificial Intelligence,Module 5,"Illustrate learning techniques in intelligent systems","Compare different learning techniques."


S7,Industrial Safety Engineering,Module 1,"Describe accident causation theories and prevention","Explain theories of accident causation."
S7,Industrial Safety Engineering,Module 1,"Describe accident causation theories and prevention","Discuss causes of industrial accidents."
S7,Industrial Safety Engineering,Module 1,"Describe accident causation theories and prevention","Explain preventive measures for industrial accidents."

S7,Industrial Safety Engineering,Module 2,"Understand personal protective equipment and safety practices","What is personal protective equipment (PPE)?"
S7,Industrial Safety Engineering,Module 2,"Understand personal protective equipment and safety practices","Explain selection and safety performance of PPE."
S7,Industrial Safety Engineering,Module 2,"Understand personal protective equipment and safety practices","Discuss importance of housekeeping in industries."

S7,Industrial Safety Engineering,Module 3,"Understand safety issues in construction industries","Explain safety issues in construction industries."
S7,Industrial Safety Engineering,Module 3,"Understand safety issues in construction industries","Discuss hazards in construction sites."
S7,Industrial Safety Engineering,Module 3,"Understand safety issues in construction industries","Explain safety measures in construction work."

S7,Industrial Safety Engineering,Module 4,"Identify hazards in machines and material handling","Explain hazards associated with machines."
S7,Industrial Safety Engineering,Module 4,"Identify hazards in machines and material handling","Describe mechanical material handling hazards."
S7,Industrial Safety Engineering,Module 4,"Identify hazards in machines and material handling","Explain safety measures for machine operations."

S7,Industrial Safety Engineering,Module 5,"Apply hazard identification tools and chemical safety","Explain hazard identification techniques."
S7,Industrial Safety Engineering,Module 5,"Apply hazard identification tools and chemical safety","Describe different types of chemical hazards."
S7,Industrial Safety Engineering,Module 5,"Apply hazard identification tools and chemical safety","Explain tools used for hazard analysis in industries."



S8,Distributed Computing,Module 1,"Summarize distributed computation models and logical time","Define distributed system and its characteristics."
S8,Distributed Computing,Module 1,"Summarize distributed computation models and logical time","Explain distributed computation models."
S8,Distributed Computing,Module 1,"Summarize distributed computation models and logical time","Describe logical clocks and Lamport timestamps."

S8,Distributed Computing,Module 2,"Illustrate election, snapshot and termination algorithms","Explain election algorithms in distributed systems."
S8,Distributed Computing,Module 2,"Illustrate election, snapshot and termination algorithms","Describe global snapshot algorithm."
S8,Distributed Computing,Module 2,"Illustrate election, snapshot and termination algorithms","Explain termination detection algorithms."

S8,Distributed Computing,Module 3,"Compare mutual exclusion algorithms","Explain token-based mutual exclusion algorithm."
S8,Distributed Computing,Module 3,"Compare mutual exclusion algorithms","Describe non-token based mutual exclusion algorithm."
S8,Distributed Computing,Module 3,"Compare mutual exclusion algorithms","Explain quorum-based mutual exclusion algorithm."

S8,Distributed Computing,Module 4,"Understand deadlock detection and shared memory","Explain deadlock detection in distributed systems."
S8,Distributed Computing,Module 4,"Understand deadlock detection and shared memory","Describe distributed shared memory."
S8,Distributed Computing,Module 4,"Understand deadlock detection and shared memory","Explain significance of deadlock handling."

S8,Distributed Computing,Module 5,"Explain failure recovery and consensus","Explain failure recovery techniques."
S8,Distributed Computing,Module 5,"Explain failure recovery and consensus","Describe consensus problem in distributed systems."
S8,Distributed Computing,Module 5,"Explain failure recovery and consensus","Explain agreement protocols."

